"source_group","d13C","d15N"
"lake",-25.04872308,1.88
"creek",-32.16234713,2.1
"creek",-32.05273197,2.04
"creek",-31.88709482,2.25
"creek",-30.6271369,2.59
"creek",-34.57029204,2.11
"creek",-34.79507252,2.17
"creek",-34.648709,1.96
"creek",-34.93872865,2.15
"creek",-30.03985265,2.17
"creek",-30.21383643,1.23
"lake",-26.41151331,1.86
"lake",-26.05617124,1.19
"lake",-27.12893722,0.8
"lake",-25.59068046,1.19
"lake",-25.71991889,1.88
"lake",-26.88560827,2.09
"lake",-27.22330813,1.64
"lake",-26.85267462,1.33
"lake",-26.05809837,2.1
"lake",-27.28731672,1.56
"lake",-26.37774395,1.97
"lake",-24.60909658,1.17
"lake",-27.69993285,1.21
"lake",-27.29528002,1.95
"lake",-27.96451655,0.79
"lake",-27.08048006,1.41
"lake",-25.51758665,0.39
"lake",-25.71127851,0.62
"lake",-25.60812755,2.56
"lake",-26.39099572,1.83
"lake",-26.75607534,3.69
"lake",-27.85022312,2.37
"lake",-25.25757526,0.34
"creek",-34.02168478,2.95
"creek",-32.96710569,2.47
"creek",-34.07330585,2.71
"creek",-33.40269116,2.6
"creek",-32.73080933,3.05
"creek",-29.37647123,1.85
"creek",-32.16638623,3.5
"creek",-33.16830588,4.28
"creek",-31.91664743,3.6
"creek",-31.63024567,3.47
"creek",-31.99826217,3.35
"creek",-31.77308948,3.61
"creek",-31.61249767,3.5
"creek",-36.40682711,3.85
"creek",-36.0351346,4.06
"lake",-27.90118508,0.55
"lake",-29.468888,1.98
"lake",-29.64017521,2.37
"lake",-31.00200074,1.75
"lake",-29.09141581,3.12
"lake",-25.56115732,1.3
"lake",-27.1407673,1.38
"lake",-26.25107789,0.92
"lake",-25.67717917,1.26
"lake",-26.35595251,1.02
"lake",-27.43444984,0.67
"lake",-21.12637057,0.51
"lake",-18.3486211,0.22
"lake",-19.39038812,2.05
"lake",-18.902953,0.57
"lake",-23.61240851,0.22
"lake",-20.49953883,0.64
"lake",-23.80750525,0.16
"lake",-24.09114459,0.41
"lake",-24.4845187,0.66
"lake",-24.47604587,0.07
"lake",-26.47839299,0.82
"lake",-21.13694692,0.16
"lake",-23.54883374,1.39
"lake",-22.3865704,0.93
"lake",-21.85865699,1
"lake",-23.67202203,0.81
"lake",-23.84883374,3.32
"lake",-21.1630802,0.53
"lake",-25.1330802,1.14
